age,workclass,educationyears,maritalstatus,occupation,relationship,race,sex,hoursperweek,incomeUSD
39,8,13,8,2,2,5,2,40,43747
50,7,13,7,5,1,5,2,13,38907
38,5,9,5,7,2,5,2,40,25055
53,5,7,5,7,1,3,2,40,26733
28,5,13,5,11,6,3,1,40,23429
37,5,14,5,5,6,5,1,40,36970
49,5,5,5,9,2,3,1,16,45531
52,7,9,7,5,1,5,2,45,103612
31,5,14,5,11,2,5,1,50,64478
42,5,13,5,5,1,5,2,40,87200
37,5,10,5,5,1,3,2,80,167514
30,8,13,8,11,1,2,2,40,189843
23,5,13,5,2,4,5,1,30,35813
32,5,12,5,13,2,3,2,50,22373
40,5,11,5,4,1,2,2,40,115887
34,5,4,5,15,1,1,2,45,26294
25,7,9,7,6,4,5,2,35,36496
32,5,9,5,8,5,5,2,40,21612
38,5,7,5,13,1,5,2,50,23383
43,7,14,7,5,5,5,1,45,137281
40,5,16,5,11,1,5,2,60,96050
54,5,9,5,9,5,3,1,20,45278
35,2,5,2,6,1,3,2,40,37318
43,5,7,5,15,1,5,2,40,46082
59,5,9,5,14,5,5,1,40,43226
56,3,13,3,14,1,5,2,40,178573
19,5,9,5,4,4,5,2,40,20810
54,1,10,1,1,1,2,2,60,134092
39,5,9,5,5,2,5,2,80,22624
49,5,9,5,4,1,5,2,40,34644
23,3,12,3,12,2,5,2,52,29433
20,5,10,5,13,4,3,2,44,34800
45,5,13,5,5,4,5,2,40,40889
30,2,10,2,2,4,5,2,40,43361
22,8,10,8,9,1,3,2,15,26573
48,5,7,5,8,5,5,2,40,49183
21,5,10,5,8,4,5,2,40,32691
19,5,9,5,2,6,5,1,25,42796
31,5,10,5,13,1,5,2,38,183292
48,7,12,7,11,1,5,2,40,49291
31,5,5,5,8,1,5,2,43,31109
53,7,13,7,11,1,5,2,40,21545
24,5,13,5,14,1,5,2,50,36484
49,5,9,5,2,5,5,1,40,40078
25,5,9,5,7,2,5,2,35,26816
57,2,13,2,11,1,3,2,40,59836
53,5,9,5,8,1,5,2,38,31976
44,5,14,5,5,5,5,1,40,26595
41,8,11,8,4,1,5,2,40,48577
29,5,11,5,11,2,5,2,43,40118
25,5,10,5,5,6,4,1,40,41714
18,5,9,5,9,4,5,1,30,47875
47,5,15,5,11,6,5,1,60,144695
50,2,13,2,5,2,5,2,55,123893
47,6,9,6,5,2,5,2,60,32786
43,5,10,5,14,1,5,2,40,68050
46,5,3,5,8,1,5,2,40,38617
35,5,11,5,9,1,5,2,40,45529
41,5,9,5,2,1,5,2,48,48556
30,5,9,5,8,1,5,2,40,38252
30,5,13,5,13,1,5,2,40,30820
32,1,4,1,1,2,5,2,40,21248
48,5,9,5,15,1,5,2,40,43374
42,5,16,5,11,1,5,2,45,151317
29,5,10,5,14,2,5,2,58,22193
36,5,9,5,4,1,5,2,40,45469
28,5,10,5,2,2,5,1,40,41766
53,5,9,5,2,6,5,1,40,111034
49,6,10,6,5,1,5,2,50,101075
25,1,10,1,1,4,5,2,40,42975
19,5,10,5,11,4,5,2,32,41013
31,5,13,5,13,4,3,1,40,33571
29,7,13,7,13,1,5,2,70,190337
23,5,10,5,8,2,5,2,40,23773
79,5,10,5,11,3,5,2,20,49908
27,5,9,5,9,4,5,2,40,34334
40,5,12,5,2,1,5,2,40,47470
67,1,6,1,1,1,5,2,2,40188
18,5,7,5,9,4,5,1,22,44387
31,3,4,3,6,1,5,2,40,40938
18,5,9,5,13,2,5,2,30,33856
52,5,13,5,9,1,5,2,40,38723
46,5,9,5,9,6,5,1,40,47834
59,5,9,5,13,1,5,2,48,21240
44,5,9,5,4,2,5,1,40,138270
53,5,9,5,13,4,5,1,35,37127
49,3,9,3,12,1,5,2,40,122663
33,5,14,5,11,1,5,2,50,23141
30,5,5,5,13,2,5,2,40,27950
43,2,16,2,11,2,5,1,50,82184
57,5,11,5,11,1,5,2,40,27477
37,5,10,5,4,5,5,1,40,25611
28,5,10,5,8,5,3,1,25,33165
30,5,9,5,13,6,2,1,35,24504
34,3,13,3,12,1,5,2,40,155965
29,3,10,3,7,2,5,2,50,41347
48,7,16,7,11,1,5,2,60,107751
37,5,10,5,13,1,5,2,48,125018
48,5,12,5,5,5,5,1,40,42836
32,2,9,2,9,4,3,2,40,48865
76,5,14,5,5,1,5,2,40,153930
44,5,13,5,5,1,5,2,60,87135
47,7,14,7,11,2,5,1,50,32143
20,5,10,5,14,4,5,1,40,33250
29,5,9,5,4,2,5,2,40,42346
32,6,9,6,4,1,5,2,40,194491
17,1,6,1,1,4,5,1,32,47415
30,5,7,5,7,4,5,2,40,21506
31,3,9,3,2,2,5,1,40,43951
42,5,9,5,7,1,5,2,40,36279
24,5,13,5,13,3,5,2,40,43800
38,5,15,5,11,1,5,2,40,162768
56,7,9,7,9,1,5,2,50,99964
28,5,10,5,13,6,5,1,25,23604
36,5,9,5,8,4,5,1,40,35849
53,5,5,5,7,1,5,2,50,35679
56,6,10,6,13,1,5,2,50,48692
49,3,11,3,4,1,3,2,40,126581
55,5,10,5,13,1,5,2,56,45126
22,5,9,5,4,2,5,2,41,49389
21,5,10,5,9,4,5,1,40,48886
40,5,13,5,5,1,5,2,60,45867
30,5,13,5,5,4,3,2,40,37137
29,8,13,8,11,1,5,2,50,85850
19,5,10,5,9,4,3,2,35,44278
47,5,13,5,5,6,5,1,40,84898
20,5,10,5,2,4,5,1,28,33721
31,5,12,5,2,1,5,2,40,148959
35,1,9,1,1,1,5,2,40,36062
39,5,10,5,4,2,5,2,40,24146
28,5,12,5,13,2,5,1,60,27642
24,5,9,5,9,2,5,1,40,33784
38,7,9,7,4,1,5,2,35,33264
37,5,13,5,13,1,5,2,50,29738
46,5,12,5,14,2,3,1,36,31166
38,2,14,2,11,1,5,2,40,154207
43,7,9,7,4,1,5,2,60,23228
27,5,11,5,2,6,5,1,35,31580
20,5,10,5,13,4,5,2,20,29232
49,5,10,5,4,1,2,2,40,196889
61,6,9,6,4,1,5,2,40,46378
27,5,10,5,13,4,5,1,40,28701
19,5,10,5,9,4,5,2,30,21684
45,5,11,5,11,2,5,1,40,116475
70,5,10,5,14,3,5,2,40,38263
31,5,9,5,15,5,3,1,30,32750
22,5,10,5,9,1,5,2,24,49910
36,5,9,5,9,5,5,1,24,47723
64,5,7,5,4,1,5,2,40,45801
43,1,10,1,1,2,5,1,40,26514
47,3,10,3,2,5,5,1,38,39662
34,5,9,5,2,2,5,1,40,41549
33,5,13,5,5,3,2,1,40,42226
21,5,9,5,4,4,5,2,35,32763
52,1,9,1,1,2,5,2,45,84775
48,5,9,5,4,1,5,2,46,33364
23,5,13,5,7,2,5,2,40,32933
71,7,10,7,13,5,3,2,2,44934
29,5,9,5,4,2,5,2,60,23755
42,5,13,5,9,3,3,2,50,43799
68,1,2,1,1,2,5,1,20,36395
25,5,9,5,9,5,5,1,40,22654
44,6,14,6,5,5,2,1,40,23688
28,5,9,5,5,2,2,1,40,31833
45,7,14,7,13,1,5,2,40,90847
36,5,10,5,9,5,5,1,40,43637
39,2,12,2,5,2,5,2,42,28168
46,8,14,8,12,5,5,2,40,34488
18,5,7,5,7,4,5,2,16,49562
66,3,11,3,11,2,5,1,20,33740
27,5,9,5,9,2,5,2,40,30738
28,8,9,8,12,1,5,2,40,41680
51,5,10,5,13,1,5,2,40,62418
27,5,13,5,4,2,5,2,50,20076
28,8,13,8,11,1,5,2,40,87226
27,5,9,5,13,5,5,1,25,22868
21,5,9,5,4,4,3,2,40,36096
34,5,9,5,7,2,3,2,40,23734
18,5,9,5,9,4,5,2,12,30206
33,5,13,5,11,1,5,2,65,39286
44,3,10,3,5,1,3,2,38,122863
43,5,10,5,2,2,5,1,40,27771
30,5,10,5,4,2,3,2,45,35827
40,5,4,5,8,1,5,2,40,123522
37,2,10,2,2,1,5,2,42,108141
34,5,9,5,2,1,3,2,40,31017
41,7,13,7,5,2,5,1,40,20323
53,1,13,1,1,2,5,1,50,34092
31,5,14,5,11,6,5,1,50,21224
58,8,16,8,11,1,5,2,1,82421
38,5,10,5,8,2,3,1,28,43071
24,5,10,5,8,1,5,2,40,25268
41,3,13,3,4,1,3,2,40,31937
47,5,10,5,14,1,5,2,45,31516
41,2,13,2,14,1,5,2,24,21264
23,5,3,5,15,3,5,2,40,48433
36,5,10,5,4,2,5,2,40,21415
40,2,14,2,5,2,5,1,55,127944
35,5,14,5,11,3,5,2,40,112667
24,7,9,7,13,2,5,2,40,35224
